wellId,md,inc,azim,tvd,TVD from Fld Ref,n_s_deviaition,e_w_deviation,Grid East,Grid North,DLS,Toolface,Build Rate,Turn  Rate,Vert   Sect,Major Semi,Minor Semi,Vert  Semi,Minor Azim,surface_latitude,surface_longitude,latitude_decimal_deg,longitude_decimal_deg
well_C,8700,87.65,47.22,7657.9,7539.9,1031.6,1247.93,769896.56,3301119.59,1.6,17.62,1.54,-0.43,1535.16,54.07,43.84,16.11,51.51,29.80829444,47.78852083,29.81104694,47.79253306
well_C,8794,89.13,47.69,7660.54,7542.54,1095.13,1317.15,769917.67,3301138.96,1.65,30.45,1.57,0.5,1625.67,55.29,43.86,16.25,51.13,29.80829444,47.78852083,29.81121694,47.79275611
well_C,8859,90.27,48.36,7660.88,7542.88,1138.6,1365.47,769932.4,3301152.22,2.03,174.81,1.75,1.03,1688.11,56.16,43.87,16.34,50.92,29.80829444,47.78852083,29.81133333,47.79291194
well_C,8924,89.72,48.41,7660.89,7542.89,1181.77,1414.07,769947.22,3301165.38,0.85,-87.01,-0.85,0.08,1750.43,57.03,45.43,16.38,51.05,29.80829444,47.78852083,29.81144889,47.79306833
well_C,9018,89.9,44.97,7661.2,7543.2,1246.24,1482.46,769968.08,3301185.04,3.66,-86.99,0.19,-3.66,1841.3,58.29,45.46,16.39,50.71,29.80829444,47.78852083,29.81162139,47.79328889
well_C,9112,90.02,42.69,7661.26,7543.26,1314.04,1547.55,769987.93,3301205.72,2.43,-89.06,0.13,-2.43,1933.26,59.59,45.5,16.4,50.26,29.80829444,47.78852083,29.81180333,47.79349917
well_C,9206,90.05,40.86,7661.21,7543.21,1384.14,1610.17,770007.02,3301227.1,1.95,-93.01,0.03,-1.95,2025.86,60.88,45.54,16.42,49.78,29.80829444,47.78852083,29.81199194,47.79370194
well_C,9292,90.03,40.48,7661.15,7543.15,1449.37,1666.22,770024.11,3301246.99,0.44,-126.87,-0.02,-0.44,2110.85,62.08,45.57,16.45,49.34,29.80829444,47.78852083,29.8121675,47.79388361
well_C,9386,89.94,40.36,7661.17,7543.17,1520.93,1727.16,770042.7,3301268.81,0.16,-82.8,-0.1,-0.13,2203.81,63.41,45.61,16.48,48.9,29.80829444,47.78852083,29.81236028,47.79408111
well_C,9481,90.06,39.41,7661.17,7543.17,1593.83,1788.08,770061.28,3301291.04,1.01,-65.17,0.13,-1,2297.89,64.78,45.65,16.52,48.47,29.80829444,47.78852083,29.81255639,47.79427889
well_C,9574,90.37,38.74,7660.82,7542.82,1666.03,1846.7,770079.15,3301313.06,0.79,95.5,0.33,-0.72,2390.16,66.14,45.69,16.56,48.06,29.80829444,47.78852083,29.81275111,47.79446917
well_C,9669,90.24,40.09,7660.32,7542.32,1739.42,1907.02,770097.55,3301335.44,1.43,-97.03,-0.14,1.42,2484.33,67.56,45.73,16.62,47.68,29.80829444,47.78852083,29.81294889,47.79466472
well_C,9764,90.06,38.63,7660.07,7542.07,1812.87,1967.27,770115.92,3301357.84,1.55,-91.85,-0.19,-1.54,2578.53,69,45.77,16.68,47.34,29.80829444,47.78852083,29.81314667,47.79486028
well_C,9858,89.97,35.85,7660.04,7542.04,1887.69,2024.14,770133.27,3301380.66,2.96,-92.41,-0.1,-2.96,2672.11,70.43,45.81,16.75,46.96,29.80829444,47.78852083,29.81334861,47.79504528
well_C,9952,89.88,33.71,7660.17,7542.17,1964.9,2077.76,770149.62,3301404.2,2.28,-80.36,-0.1,-2.28,2765.98,71.87,45.85,16.82,46.52,29.80829444,47.78852083,29.81355722,47.79522028
well_C,10047,90.15,32.12,7660.14,7542.14,2044.64,2129.38,770165.36,3301428.52,1.7,-95.66,0.28,-1.67,2860.96,73.31,45.89,16.9,46.05,29.80829444,47.78852083,29.81377306,47.79538917
well_C,10142,90.03,30.91,7659.99,7541.99,2125.63,2179.04,770180.5,3301453.21,1.28,-95.91,-0.13,-1.27,2955.96,74.75,45.93,16.99,45.58,29.80829444,47.78852083,29.81399222,47.79555194
well_C,10236,89.91,29.75,7660.04,7542.04,2206.76,2226.51,770194.98,3301477.96,1.24,-86.46,-0.13,-1.23,3049.92,76.18,45.97,17.08,45.11,29.80829444,47.78852083,29.81421222,47.79570778
well_C,10330,89.97,28.78,7660.14,7542.14,2288.77,2272.46,770208.99,3301502.96,1.03,-83.16,0.06,-1.03,3143.82,77.61,46.02,17.18,44.64,29.80829444,47.78852083,29.81443444,47.79585889
well_C,10424,90,28.53,7660.16,7542.16,2371.25,2317.53,770222.74,3301528.12,0.27,99.09,0.03,-0.27,3237.67,79.05,46.06,17.28,44.18,29.80829444,47.78852083,29.81465833,47.79600722
well_C,10517,89.88,29.28,7660.26,7542.26,2452.67,2362.49,770236.44,3301552.94,0.82,-90,-0.13,0.81,3330.55,80.5,46.1,17.39,43.75,29.80829444,47.78852083,29.81487889,47.796155
well_C,10613,89.88,27.59,7660.46,7542.46,2537.08,2408.2,770250.38,3301578.69,1.76,-82.41,0,-1.76,3426.37,82,46.14,17.51,43.32,29.80829444,47.78852083,29.81510806,47.79630556
well_C,10707,90,26.69,7660.56,7542.56,2620.73,2451.08,770263.46,3301604.2,0.97,173.89,0.13,-0.96,3520.04,83.46,46.18,17.63,42.9,29.80829444,47.78852083,29.815335,47.79644722
well_C,10802,89.72,26.72,7660.79,7542.79,2705.6,2493.77,770276.48,3301630.08,0.3,43.27,-0.29,0.03,3614.65,84.95,46.23,17.76,42.48,29.80829444,47.78852083,29.81556556,47.79658833
well_C,10851,90.06,27.04,7660.89,7542.89,2749.3,2515.92,770283.23,3301643.4,0.95,100.95,0.69,0.65,3663.47,85.73,46.25,17.83,42.27,29.80829444,47.78852083,29.81568417,47.79666139
well_C,10890,90,27.35,7660.87,7542.87,2783.99,2533.75,770288.67,3301653.98,0.81,0,-0.15,0.79,3702.34,86.35,46.27,17.88,42.12,29.80829444,47.78852083,29.81577833,47.79672028
